model,dataset,targeted,target,attack,epsilon,alpha,iterations,norm,loss,model_is_missing
liteflownet3_pseudoreg,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
llaflow,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
llaflow,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
llaflow,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
maskflownet_s,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
matchflow,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
matchflow,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
matchflow,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
rapidflow,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
rapidflow,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
rapidflow,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
scv4,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
scv4,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
scv4,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
seperableflow,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
seperableflow,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
seperableflow,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
seperableflow,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
skflow,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
skflow,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
skflow,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
videoflow_bof,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
